,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.705,0.7755102040816326,0.8142857142857143,0.794425087108014,0.7594047619047619
Decision Tree,0.645,0.7518248175182481,0.7357142857142858,0.7436823104693141,0.5845238095238096
Random Forest,0.76,0.7987012987012987,0.8785714285714286,0.8367346938775511,0.7799404761904762
